Kind,Name,Hp,Speed,Defence Power,Armour,Weapon,Price kind,Price Count,Climb Ladder,Dig Moat
Soldier,Archer,100,9,2,null,Bow,Gold~Bow~People,12~1~1,Yes,Yes
Soldier,Crossbowman,100,4,3,Leather,Crossbow,Gold~Crossbow~Leather~People,20~1~1~1,No,No
Soldier,Spearman,100,6,1,null,Spear,Gold~Spear~People,8~1~1,Yes,Yes
Soldier,Pikeman,100,4,4,Metal,Pike,Gold~Pike~Metal~People,20~1~1~1,No,Yes
Soldier,Maceman,100,6,3,Leather,Mace,Gold~Mace~Leather~People,20~1~1~1,Yes,Yes
Soldier,Swordsman,100,3,1,Metal,Sword,Gold~Sword~Metal~People,40~1~1~1,No,No
Soldier,Knight,100,9,4,Metal~Horse,Sword,Gold~Sword~Metal~Horse~People,40~1~1~1~1,No,No
Soldier,Black Monk,100,3,3,null,Staff,Gold~Staff~People,10~1~1,No,No
Soldier,Arabian Bow,100,9,1,null,Bow,Gold~Bow~People,75~1~1,No,Yes
Soldier,Slave,100,9,0,null,Torch,Gold~Torch~People,5~1~1,No,Yes
Soldier,Slinger,100,9,1,null,Sling,Gold~Sling~People,12~1~1,No,No
Soldier,Assassin,100,6,2,null,Scimitar,Gold~Scimitar~People,60~1~1,No,No
Soldier,Horse Archer,100,9,3,Horse,Bow,Gold~Bow~Horse~People,60~1~1~1,No,No
Soldier,Arabian Swordsman,100,10,4,Metal,Scimitar,Gold~Scimitar~Metal~People,80~1~1~1,No,No
Soldier,Fire Thrower,100,10,1,null,Greek Fire,Gold~Greek Fire~People,100~1~1,No,No
Worker,Tunneler,80,9,1,null,null,Gold~People,30~1,No,No
Worker,Ladderman,80,9,1,null,null,Gold~People,30~1,No,No
Worker,Engineer,80,6,1,null,null,Gold~People,30~1,No,Yes
Soldier,?Battering Ram,300,1,3,null,Ram,Ram~People,1~4,No,No
Soldier,Catapult,300,0,3,null,Thrower,Thrower~People,1~3,No,No
Soldier,Stone Thrower,200,2,3,null,Thrower,Thrower~People,1~1,No,No
Worker,Tower,100,2,3,null,null,Gold,,,
